Len,Paths,Paths%
2,0,0.0
3,1109,0.218305
4,1674,0.329525
5,2288,0.45039
6,3012,0.592909
7,3890,0.765742
8,4832,0.951174
9,5905,1.16239
10,6871,1.35255
11,7883,1.55176
12,8900,1.75195
13,9891,1.94703
14,10804,2.12675
15,11381,2.24034
16,11744,2.31179
17,12190,2.39959
18,12720,2.50392
19,13231,2.60451
20,13918,2.73974
21,14477,2.84978
22,14860,2.92517
23,15082,2.96887
24,15273,3.00647
25,14977,2.94821
26,14514,2.85706
27,14278,2.81061
28,14098,2.77517
29,14108,2.77714
30,13651,2.68718
31,13602,2.67754
32,13656,2.68817
33,13732,2.70313
34,13463,2.65018
35,12714,2.50274
36,12640,2.48817
37,12361,2.43325
38,12332,2.42754
39,12382,2.43738
40,11942,2.35077
41,11396,2.24329
42,11191,2.20294
43,10718,2.10983
44,9840,1.93699
45,9300,1.83069
46,8165,1.60727
47,7314,1.43975
48,6272,1.23464
49,5314,1.04605
50,4204,0.827553
51,2958,0.582279
52,1948,0.383462
53,1238,0.243699
54,921,0.181298
55,562,0.110629
56,234,0.0460626
57,44,0.00866135
58,0,0.0
